entity,label,index
I,B-MISC,3
F,B-MISC,3
I,B-MISC,3
La,B-MISC,10
##os,I-MISC,10
RF,B-ORG,13
##A,I-ORG,13
H,B-ORG,13
&,I-ORG,13
E,I-ORG,13
N,B-MISC,13
RF,B-ORG,13
##A,I-ORG,13
N,B-MISC,13
HIV,B-MISC,14
Southern,B-MISC,14
Africans,I-MISC,14
T,B-MISC,14
International,B-MISC,14
T,I-MISC,14
HIV,B-MISC,14
T,B-MISC,14
T,B-MISC,15
MR,B-MISC,19
MR,B-MISC,19
AC,B-MISC,19
L,B-MISC,22
##ym,I-MISC,22
1,I-MISC,22
non,B-MISC,22
Ho,B-PER,22
##d,I-MISC,22
##g,B-PER,22
##kin,B-PER,22
NHL,B-MISC,22
V,B-LOC,23
##od,I-MISC,23
V,B-LOC,23
##ater,I-LOC,23
T,B-MISC,25
SA,B-ORG,25
Zoo,B-PER,26
Zoo,B-PER,26
Internet,B-MISC,28
Internet,B-MISC,28
NHS,B-ORG,28
##net,I-ORG,28
PR,B-MISC,30
##P,I-MISC,30
##F,I-MISC,30
R,B-MISC,30
##P,I-MISC,30
##11,I-MISC,30
PR,B-MISC,30
##P,I-MISC,30
##F,I-MISC,30
PR,B-MISC,30
##P,I-MISC,30
##F,I-MISC,30
I,B-MISC,32
##BS,I-MISC,32
I,B-MISC,32
##BS,I-MISC,32
I,B-MISC,32
##BS,I-MISC,32
Ka,B-MISC,34
E,B-ORG,34
The,B-LOC,35
Netherlands,I-LOC,35
PT,B-MISC,36
PT,B-MISC,36
PT,B-MISC,36
E,B-MISC,36
E,B-MISC,36
St,B-MISC,38
##oc,I-MISC,38
##oc,I-MISC,38
Department,B-ORG,38
for,I-ORG,38
Thor,I-ORG,38
##ac,I-ORG,38
##ic,I-ORG,38
and,I-ORG,38
Card,I-ORG,38
##iovascular,I-ORG,38
Surgery,I-ORG,38
S,B-MISC,38
S,B-MISC,38
L,B-MISC,39
MD,B-MISC,43
##S,I-MISC,43
NH,B-MISC,43
NH,B-MISC,43
NH,B-MISC,43
Washington,B-LOC,44
Washington,B-LOC,44
State,I-LOC,44
E,B-ORG,44
AAA,B-MISC,45
EC,B-MISC,46
##G,I-MISC,46
Food,B-ORG,47
and,I-ORG,47
Drug,I-ORG,47
Administration,I-ORG,47
United,B-LOC,48
States,I-LOC,48
ST,B-MISC,50
##D,I-MISC,50
AIDS,I-MISC,50
ST,B-MISC,50
AIDS,I-MISC,50
A,B-MISC,51
##ED,I-MISC,51
A,B-MISC,51
##ED,I-MISC,51
E,B-ORG,52
##D,I-ORG,52
E,B-ORG,52
##D,I-ORG,52
AP,B-ORG,53
Fe,B-MISC,53
F,B-ORG,54
S,B-MISC,59
S,B-MISC,59
I,B-MISC,59
S,B-MISC,59
S,B-MISC,59
S,B-MISC,59
S,B-MISC,59
UK,B-LOC,60
UK,B-LOC,60
M,B-MISC,60
NHS,B-ORG,60
CO,B-MISC,61
AM,B-ORG,64
B,B-PER,65
##ur,B-PER,65
##ki,B-PER,65
He,B-PER,65
NHL,B-MISC,65
NHL,B-ORG,65
H,B-PER,65
B,B-MISC,65
Caesar,B-MISC,67
##ean,I-MISC,67
ST,B-ORG,69
SC,B-ORG,71
SC,B-MISC,71
G,B-MISC,72
##QL,I-MISC,72
G,B-MISC,72
##H,I-MISC,72
##QL,I-MISC,72
E,B-MISC,74
F,B-MISC,74
E,B-ORG,74
##GC,I-ORG,74
T,B-MISC,75
T,B-MISC,75
T,B-MISC,75
Catalonia,B-MISC,76
##n,I-MISC,76
CE,B-MISC,77
Mo,B-MISC,77
##lar,I-MISC,77
Inc,I-MISC,77
H,I-MISC,77
